Lot.Area,Bedroom.AbvGr,SalePrice
31770,3,215.0
11622,2,105.0
14267,3,172.0
11160,3,244.0
13830,3,189.9
9978,3,195.5
4920,2,213.5
5005,2,191.5
5389,2,236.5
7500,3,189.0
10000,3,175.9
7980,3,185.0
8402,3,180.4
10176,2,171.5
6820,1,212.0
53504,4,538.0
12134,4,164.0
11394,1,394.432
19138,2,141.0
13175,3,210.0
11751,3,190.0
10625,3,170.0
7500,3,216.0
11241,2,149.0
12537,3,149.9
8450,3,142.0
8400,2,126.0
10500,3,115.0
5858,2,184.0
1680,2,96.0
1680,3,105.5
1680,3,88.0
4043,2,127.5
2280,3,149.9
2280,2,120.0
2280,3,146.0
12858,3,376.162
11478,3,306.0
10159,3,395.192
12883,3,290.941
12182,3,220.0
11520,3,275.0
14122,3,259.0
10171,3,214.0
12919,2,611.657
6371,2,224.0
14300,3,500.0
13650,3,320.0
7658,2,319.9
7132,2,205.0
2628,2,175.5
18494,3,199.5
3203,2,160.0
3182,2,192.0
13300,3,184.5
7851,4,216.5
8577,3,185.088
7750,3,180.0
9505,3,222.5
14774,4,333.168
17433,4,355.0
10593,3,260.4
12256,3,325.0
11764,4,290.0
16770,4,221.0
14720,4,410.0
8987,2,221.5
9215,2,204.5
8640,3,215.2
9000,3,262.5
12552,3,254.9
10440,2,271.5
10142,4,233.0
11920,3,181.0
8880,3,205.0
8012,2,143.0
11218,3,189.0
7892,2,99.5
7175,2,125.0
9453,3,194.5
9672,3,152.0
8400,3,171.0
9800,2,67.5
8930,4,112.0
11782,3,148.0
8450,3,138.5
9819,3,122.0
7500,3,133.0
6897,3,127.0
15410,3,169.0
10186,3,190.0
13143,4,362.5
11134,4,285.0
4835,2,260.0
3515,2,190.0
3215,2,155.0
3182,2,151.0
2544,2,149.5
2544,2,152.0
4403,2,222.0
2117,3,177.5
2980,2,177.0
2572,3,155.0
2403,2,147.11
12853,1,267.916
7379,3,254.0
4420,1,155.0
3880,1,206.0
13517,3,130.5
8000,3,230.0
10456,4,218.5
10791,4,243.5
10603,3,205.0
18837,3,212.5
10421,3,196.5
9360,3,197.5
9600,4,171.0
9600,3,142.25
9790,3,143.0
9320,3,128.95
9900,3,159.0
9680,3,178.9
10600,3,136.3
14112,3,180.5
8800,3,137.5
13260,6,84.9
9717,2,142.125
9724,3,197.6
17360,3,172.5
7207,2,116.5
5350,3,76.5
9920,3,128.0
9600,3,153.0
7800,2,132.0
11380,2,178.0
11600,5,154.3
19900,3,180.0
16492,2,190.0
8267,4,135.0
8197,3,214.0
8050,3,136.0
10552,4,165.5
8400,3,145.0
8760,3,148.0
12160,3,142.0
9300,3,167.5
10725,3,108.538
10032,3,159.5
8382,3,108.0
10950,2,135.0
10895,3,122.5
13587,2,119.0
7922,3,109.0
7898,2,105.0
7200,2,107.5
10200,3,144.9
5868,2,129.0
17503,3,97.5
6979,0,144.0
9830,3,162.0
11275,5,242.0
8064,3,132.0
7500,3,154.0
8520,4,166.0
7200,3,134.8
10000,3,160.0
7635,3,148.0
9760,2,192.0
7700,4,155.0
4800,3,80.4
8800,3,96.5
4485,2,109.5
8960,2,115.0
5805,3,143.0
5790,3,107.4
4608,2,80.0
7200,2,119.0
5500,3,130.0
6900,3,119.0
11851,3,129.0
8239,3,100.0
9656,2,12.789
8520,2,105.9
9600,3,150.0
10800,4,139.0
9000,3,240.0
9045,4,76.5
7407,2,149.7
7740,3,125.5
11340,4,122.5
10560,2,140.75
5830,3,128.5
7793,3,209.5
5000,2,87.0
6000,2,134.0
6000,3,128.0
6360,3,132.0
6000,3,139.9
6240,2,123.9
6240,4,138.4
6120,2,109.5
10300,3,140.0
8094,4,149.5
12900,3,159.9
3068,3,122.0
8472,2,110.0
5600,3,55.0
7630,4,140.0
24090,4,244.4
15263,3,173.0
10632,3,107.5
9900,3,100.0
6001,3,95.0
6449,4,93.369
6048,2,114.9
6342,2,94.0
10773,4,136.0
10778,4,136.5
11625,3,131.5
11341,3,121.5
8521,3,125.0
8246,3,154.0
7800,3,137.9
9364,4,158.0
7832,2,137.25
7424,3,160.25
11227,4,163.0
11616,3,158.9
14000,3,328.0
20062,1,270.0
9259,2,85.0
9600,2,128.0
23595,0,260.0
17082,4,230.0
18600,4,124.0
10625,2,83.0
11479,3,144.5
9571,3,129.0
9350,3,127.0
9525,3,128.0
10420,3,186.0
17485,1,308.03
11200,3,114.0
11100,2,84.9
9206,3,178.0
11980,1,270.0
12361,3,218.0
9938,3,236.0
9069,2,147.0
10475,3,245.35
6762,2,206.0
10402,3,198.9
7360,2,187.0
12376,5,320.0
14235,3,138.5
8816,3,155.0
11105,2,159.0
9337,3,191.0
8750,3,200.5
15240,3,150.0
10900,3,161.75
10650,3,128.2
7480,3,127.0
10389,3,318.0
11423,3,272.0
9548,3,237.0
9375,4,240.0
12137,3,224.9
4435,1,143.75
4426,1,143.0
10635,3,232.0
8400,3,213.0
8773,3,185.5
8777,2,84.9
8842,3,155.891
9825,4,100.0
10044,3,144.0
11792,2,64.0
6305,3,125.2
7819,3,107.0
6410,3,90.0
8546,2,140.0
8741,3,113.0
12180,2,80.0
8562,4,144.5
4853,2,104.0
6858,4,128.0
8212,2,58.5
5000,3,127.0
7890,2,126.0
7200,6,160.0
9839,3,100.0
9638,4,169.0
10452,4,257.5
15600,5,215.0
9042,4,266.5
17500,3,335.0
19645,3,203.135
3907,1,185.0
3907,2,162.5
15602,1,289.0
5436,3,125.5
8154,1,82.0
9140,2,110.0
7500,2,68.4
8712,2,102.776
8712,2,55.993
8712,3,50.138
3811,2,246.0
11050,3,254.9
9620,3,190.0
9196,3,201.0
12328,3,169.9
12760,5,170.0
57200,3,160.0
11896,3,220.0
9803,2,179.781
9802,3,174.0
12003,4,269.5
11316,4,214.9
14191,4,202.9
13214,3,378.5
15300,2,169.0
10114,3,173.5
9400,4,139.0
11875,3,166.5
1974,3,83.5
2394,2,119.5
2592,3,85.0
1476,3,76.0
1491,1,75.5
1900,3,88.25
1890,3,85.5
6953,3,130.0
26142,3,157.9
12887,2,149.9
7700,4,159.0
10475,3,136.0
10544,5,161.0
9892,3,285.0
12961,3,231.0
13008,2,124.5
10200,4,157.0
13860,4,345.0
10179,3,189.5
11792,4,270.0
8400,3,189.0
14892,3,377.5
8530,3,168.5
7296,1,375.0
5664,2,278.0
7380,2,240.0
8013,2,239.5
8923,3,177.5
10141,3,185.0
7500,3,191.0
7837,3,178.0
9765,3,185.0
8803,3,181.316
7250,3,166.0
9636,3,178.0
8125,3,174.0
9248,3,173.0
10762,3,225.0
11851,3,180.5
5814,1,187.5
17423,1,501.837
11844,3,372.5
16158,3,260.0
11900,3,185.0
13005,4,260.0
17043,3,181.0
11900,3,82.5
16635,3,215.0
13250,4,154.0
10928,3,200.0
12388,4,249.0
14115,3,187.5
11088,3,184.0
9600,4,278.0
11880,3,157.0
10400,3,152.0
10304,4,197.5
7000,3,240.9
8004,3,263.435
7500,3,220.0
8470,3,235.0
9373,3,213.0
10140,3,167.9
11050,3,158.0
10140,3,165.0
10448,3,158.0
9000,4,136.0
8750,3,148.5
7930,3,156.0
7830,2,128.0
8510,3,143.0
7038,3,76.5
6960,3,120.5
8120,3,124.5
10500,2,97.0
9000,3,130.0
1680,2,111.0
2368,3,125.0
1680,3,112.0
1680,2,97.0
1680,2,118.0
1680,3,119.5
4928,2,143.75
2308,3,146.0
2280,3,148.5
2280,2,123.0
2308,3,147.0
2349,3,137.9
2364,3,147.0
2289,3,148.5
2364,3,138.0
2104,2,128.5
7150,3,100.0
10710,3,148.8
12456,3,337.5
14257,4,462.0
13518,4,485.0
15431,2,555.0
13173,2,325.0
14230,3,256.3
12704,3,253.293
12350,3,398.8
11308,3,335.0
12350,3,404.0
12220,3,402.861
13478,3,451.95
13693,2,610.0
13891,4,582.933
11578,3,360.0
16870,3,296.0
23303,5,409.9
11146,3,255.5
10367,3,335.0
9591,3,274.9
10872,2,300.0
13514,3,324.0
8834,4,350.0
11362,3,280.0
10655,3,284.0
12878,3,269.5
9541,3,233.17
13472,3,386.25
15274,3,445.0
13262,4,290.0
9658,3,255.9
6904,2,213.0
5381,1,196.0
5122,1,184.5
10307,2,212.5
5001,2,230.0
14836,2,552.0
15262,3,382.5
7390,2,320.0
6472,2,248.5
16770,3,286.5
6240,2,254.0
3480,2,173.0
2268,2,173.0
10928,3,184.0
8918,3,167.8
12589,3,174.0
11911,3,174.0
3684,2,174.0
3635,1,175.9
3182,2,192.5
3182,1,181.0
3182,2,180.0
3182,2,160.2
7795,3,188.5
8068,4,200.0
9434,3,170.0
7984,3,189.5
7750,3,184.1
10125,3,195.5
8965,3,192.0
8174,3,178.0
5063,2,207.5
8795,4,236.0
12891,4,257.5
12224,3,244.0
9734,3,167.0
8123,3,179.0
8433,3,190.0
7750,3,156.0
15896,4,245.0
24682,3,181.0
8755,3,214.0
7848,3,168.0
9430,3,337.0
15138,4,403.0
12720,4,327.0
16545,3,340.0
12203,4,336.0
10208,3,265.0
10750,3,315.0
9900,4,260.0
9085,3,260.0
11692,3,263.55
46589,4,402.0
29959,3,248.0
9612,3,244.6
11194,3,275.0
10206,3,257.5
9262,3,287.09
10130,3,275.5
9139,3,245.0
9675,3,253.0
11128,2,468.0
8640,3,252.678
9000,3,210.0
7862,2,208.3
7993,3,225.0
8640,3,229.456
8640,3,229.8
12606,3,250.0
9187,2,370.878
7500,2,238.5
11003,3,310.0
10603,3,270.0
10574,3,252.0
8125,2,241.0
8125,3,264.5
10625,3,291.0
9375,4,263.0
7500,2,185.0
8736,3,234.5
8127,3,209.0
9605,3,159.0
7500,3,152.0
7500,3,143.5
10628,3,193.0
10141,3,203.0
10083,2,184.9
13072,3,159.0
13072,3,142.0
12450,3,153.0
7328,2,224.243
11492,4,220.0
10994,2,257.0
8529,3,189.0
7703,3,171.5
10762,3,120.0
7175,2,145.0
9109,3,184.0
10274,3,162.0
8250,4,160.0
8400,2,82.0
9000,2,76.0
9750,3,110.0
7064,3,135.0
8499,3,141.0
9079,2,122.0
9316,3,124.1
7791,3,129.0
10000,3,131.4
8281,3,62.383
7150,3,123.0
15676,2,275.0
11949,3,235.0
2880,3,280.75
3951,2,164.5
3000,2,173.733
3830,2,222.0
4217,1,195.0
3230,3,172.5
2998,2,180.0
3768,3,156.0
2645,3,172.5
14694,2,318.75
3782,1,211.5
15417,2,241.6
9600,4,180.5
9991,3,150.0
11700,4,154.0
11717,2,185.0
9156,3,185.75
10382,3,200.0
12732,3,206.0
12936,3,162.0
10400,5,256.9
17871,3,197.9
9600,3,163.0
9000,3,113.0
13774,4,230.0
