Lot.Area,Bedroom.AbvGr,SalePrice
31770,3,215.0
11622,2,105.0
14267,3,172.0
11160,3,244.0
13830,3,189.9
9978,3,195.5
4920,2,213.5
5005,2,191.5
5389,2,236.5
7500,3,189.0
10000,3,175.9
7980,3,185.0
8402,3,180.4
10176,2,171.5
6820,1,212.0
53504,4,538.0
12134,4,164.0
11394,1,394.432
19138,2,141.0
13175,3,210.0
11751,3,190.0
10625,3,170.0
7500,3,216.0
11241,2,149.0
12537,3,149.9
8450,3,142.0
8400,2,126.0
10500,3,115.0
5858,2,184.0
1680,2,96.0
1680,3,105.5
1680,3,88.0
4043,2,127.5
2280,3,149.9
2280,2,120.0
2280,3,146.0
12858,3,376.162
11478,3,306.0
10159,3,395.192
12883,3,290.941
12182,3,220.0
11520,3,275.0
14122,3,259.0
10171,3,214.0
12919,2,611.657
6371,2,224.0
14300,3,500.0
13650,3,320.0
7658,2,319.9
7132,2,205.0
2628,2,175.5
18494,3,199.5
3203,2,160.0
3182,2,192.0
13300,3,184.5
7851,4,216.5
8577,3,185.088
7750,3,180.0
9505,3,222.5
14774,4,333.168
17433,4,355.0
10593,3,260.4
12256,3,325.0
11764,4,290.0
16770,4,221.0
14720,4,410.0
8987,2,221.5
9215,2,204.5
8640,3,215.2
9000,3,262.5
12552,3,254.9
10440,2,271.5
10142,4,233.0
11920,3,181.0
8880,3,205.0
8012,2,143.0
11218,3,189.0
7892,2,99.5
7175,2,125.0
9453,3,194.5
9672,3,152.0
8400,3,171.0
9800,2,67.5
8930,4,112.0
11782,3,148.0
8450,3,138.5
9819,3,122.0
7500,3,133.0
6897,3,127.0
15410,3,169.0
10186,3,190.0
13143,4,362.5
11134,4,285.0
4835,2,260.0
3515,2,190.0
3215,2,155.0
3182,2,151.0
2544,2,149.5
2544,2,152.0
4403,2,222.0
2117,3,177.5
